Feature,Importance
margin_net_pow_ele,0.051034406
origin_up_kamkkxfxxuwbdslkwifmmcsiusiuosws,0.045370143
origin_up_lxidpiddsbxsbosboudacockeimpuepw,0.045161624
off_peak_mid_peak_fix_max_monthly_diff,0.024226602
months_to_end,0.021810982
off_peak_peak_fix_max_monthly_diff,0.020089723
months_renewal,0.01948809
tenure,0.018284572
var_6m_price_peak_fix,0.018038144
channel_lmkebamcaaclubfxadlmueccxoimlema,0.017436026
margin_gross_pow_ele,0.01740896
pow_max,0.017327111
forecast_price_pow_off_peak,0.016423834
has_gas,0.016361473
off_peak_mid_peak_fix_mean_diff,0.016139613
forecast_discount_energy,0.01602094
cons_last_month,0.015936669
offpeak_diff_dec_january_power,0.015927732
off_peak_peak_fix_mean_diff,0.015912876
off_peak_mid_peak_var_max_monthly_diff,0.015896784
months_activ,0.015808132
off_peak_peak_var_max_monthly_diff,0.015230365
forecast_price_energy_peak,0.015160538
forecast_price_energy_off_peak,0.015119961
var_6m_price_mid_peak_fix,0.015085408
nb_prod_act,0.01505215
cons_12m,0.014971698
off_peak_mid_peak_var_mean_diff,0.014962157
channel_foosdfpfkusacimwkcsosbicdxkicaua,0.014945269
off_peak_peak_var_mean_diff,0.0148193855
channel_usilxuppasemubllopkaafesmlibmsdf,0.014479829
net_margin,0.014470493
var_year_price_peak,0.014461249
var_year_price_off_peak_var,0.014226609
var_6m_price_mid_peak,0.014214354
var_year_price_mid_peak,0.014192495
months_modif_prod,0.014117378
var_year_price_peak_fix,0.013990973
var_6m_price_off_peak,0.013960736
var_6m_price_peak,0.013913312
offpeak_diff_dec_january_energy,0.013857983
var_6m_price_off_peak_var,0.013721653
var_year_price_off_peak,0.013657703
cons_gas_12m,0.01359889
forecast_meter_rent_12m,0.013406976
var_year_price_peak_var,0.013317275
var_6m_price_mid_peak_var,0.013071199
var_6m_price_peak_var,0.012875628
var_year_price_mid_peak_var,0.0128416205
peak_mid_peak_fix_mean_diff,0.012699813
imp_cons,0.012602881
forecast_cons_12m,0.012554527
origin_up_ldkssxwpmemidmecebumciepifcamkci,0.0124911545
var_6m_price_off_peak_fix,0.012402195
peak_mid_peak_var_mean_diff,0.012362335
peak_mid_peak_var_max_monthly_diff,0.011928595
var_year_price_off_peak_fix,0.011881199
channel_ewpakwlliwisiwduibdlfmalxowmwpci,0.011864395
channel_MISSING,0.011387844
var_year_price_mid_peak_fix,0.011021998
peak_mid_peak_fix_max_monthly_diff,0.008975292
